,text,language,detected_language
1378,‘n Ou bok lus ook nog ‘n groen blaartjie.,Afrikaans,af
1379,Men in suits,English,en
1380,Pig's back - on the,English,en
1381,Living off the fat of the land,English,en
1382,Op die bokwa wees.,Afrikaans,nl
1383,Dit is net ‘n brekfis.,Afrikaans,nl
1384,Cloak and dagger,English,en
1385,As die hingste vul .,Afrikaans,af
1386,Hooray Henry,English,en
1387,Dassie het ‘n stert gekry.,Afrikaans,af
1388,Without so much as a by your leave,English,en
1389,Fits and starts,English,en
1390,Shiver my timbers,English,en
1391,“Sy skop nie baie watts uit nie”  – ingestuur deur Hanlie,Afrikaans,af
1392,Let not the sun go down on your wrath,English,en
1393,Full of piss and vinegar,English,en
1394,That's all folks!,English,en
1395,‘n Gat in die dag slaap.,Afrikaans,nl
1396,Hy het al weer aalwyn getap.,Afrikaans,af
1397,Blow your own trumpet,English,en
1398,Silly Billy,English,en
1399,Fly by the seat of one's pants,English,en
1400,Toe the line,English,en
1401,Not tonight Josephine,English,en
1402,Keep a stiff upper lip,English,en
1403,Elementary my dear Watson,English,en
1404,My cup runneth over,English,en
1405,Call a spade a spade,English,en
1406,Complete shambles,English,en
1407,"‘n Mens kan die wyn nie beoordeel, deur na die vat te kyk nie.",Afrikaans,af
1408,"Om te dink is maklik; om te doen is moeilik; Om te doen soos ‘n mens dink, is die moeilikste van alles.",Afrikaans,af
1409,"‘n Mens het nog nie gemoedskalmte, voordat jy nie kan niksdoen, lekkerdoen nie!",Afrikaans,af
1410,"As jou pad deur die kantvoorspelers versper word, gebruik jy die geweldbreek. – Danie Craven",Afrikaans,af
1411,Brand spanking new,English,en
1412,Misdaad loont niet.,Nederlands,nl
1413,Is this a dagger which I see before me?,English,en
1414,Not worth a plugged nickel,English,en
1415,Dit is vir my Grieks en ek maak nie kop of stert daarvan uit nie.,Afrikaans,af
1416,Stiffen the sinews,English,en
1417,Accidents will happen,English,en
1418,Far from the madding crowd,English,en
1419,About face,English,en
1420,Dit sal my laat ystervarke vang.,Afrikaans,af
1421,Ethnic cleansing,English,en
1422,Jy sal vir jou moet laat kyk deur sewe skeel kamele.,Afrikaans,af
1423,Soos ’n hand vol vlieë.,Afrikaans,af
1424,Go to pot,English,en
1425,Erken as jy verkeerd is en bly stil as jy reg is.,Afrikaans,af
1426,"Horse, a horse, my kingdom for a horse - A",English,en
1427,Luiaard gaan na die mier.,Afrikaans,nl
1428,Smallest room in the house - The,English,en
1429,Carey Street - On,English,en
1430,Nail your colours to the mast,English,en
1431,The elephant in the room,English,en
1432,Road rage,English,en
1433,(Can't) hold a candle to,English,en
1434,Heard it through the grapevine,English,en
1435,Heebie-jeebies - The,English,en
1436,Such is life,English,en
1437,Maer bokke dip.,Afrikaans,af
1438,Whet your appetite,English,en
1439,De pot verwijt de ketel dat hij zwart ziet.,Nederlands,nl
1440,So eet dat ‘n kat nie met jou maag kan wegloop nie.,Afrikaans,af
1441,Haar haan moet altyd koning kraai.,Afrikaans,af
1442,Heads up,English,en
1443,Give up the ghost,English,en
1444,Pull the wool over your eyes,English,en
1445,Never give a sucker an even break,English,en
1446,Chickens come home to roost,English,en
1447,A hiding to nothing - On,English,en
1448,Blonde bombshell,English,en
1449,Daar is baie goeie maniere om jou teen versoeking te beskerm – die maklikste is om ‘n lafaard te wees.,Afrikaans,af
1450,"O Romeo, Romeo! wherefore art thou Romeo?",English,en
1451,Hy’t sommer so sjierts by ons verbygejaag.,Afrikaans,da
1452,Dit is iemand anders se breinkind.,Afrikaans,nl
1454,Comparisons are odious,English,en
1455,"Spring forward, fall back",English,en
1456,Hy is pad op.,Afrikaans,af
1457,Born with a silver spoon in one's mouth,English,en
1458,White elephant,English,en
1459,The law is an ass,English,en
1460,Jy sal verbaas wees hoeveel van jou geheime sondes jou bure weet. Hoekom sal hulle met jou daaroor praat? Hulle reken jy weet dit immers self.,Afrikaans,af
1461,Shot across the bows,English,en
1462,"Die Julius is hardekoejawel, inkoejawel en ingat!",Afrikaans,nl
1463,"Ons is wat ons herhaaldelik doen. Perfeksie is derhalwe nie ‘n daad nie, maar ‘n gewoonte",Afrikaans,af
1464,By hook or by crook,English,en
1465,A piece of the action,English,en
1466,Another think coming,English,en
1467,Handbags at ten paces,English,en
1468,Sandwich short of a picnic,English,en
1469,A fly in the ointment,English,en
1470,My salad days,English,en
1471,Swart Grietjie soen.,Afrikaans,af
1472,Man who is his own lawyer has a fool for a client - A,English,en
1473,Hy hou van ankers uitgooi by elke stopstraat.,Afrikaans,af
1474,"Hung, drawn and quartered",English,en
1475,A tinker's damn,English,en
1476,Watching brief,English,en
1477,Maak die pas van die natuur jou eie – haar geheim is geduld en volharding.,Afrikaans,af
1478,Speak softly and carry a big stick,English,en
1479,"Moenie fout vind nie, vind ‘n oplossing.",Afrikaans,af
1480,Parting shot / Parthian shot,English,en
1482,Live long and prosper,English,en
1483,Even at the turning of the tide,English,en
1484,Hy is bekend as die bont hond.,Afrikaans,af
1485,The back of beyond,English,en
1486,For the birds,English,en
1487,New kid on the block,English,en
1488,"Om die toekoms te ken, is om verveeld te wees.",Afrikaans,af
1489,Don't let the bastards grind you down,English,en
1490,The belle of the ball,English,en
1491,The life of Riley,English,en
1492,À la carte,English,fr
1493,Moenie jou kinders onskuldige plesier belet nie. Hulle sal dit steel en dan is jy nie daarby om te sien dat hulle nie die skuldige by steel nie.,Afrikaans,af
1494,Minced oaths,English,en
1495,Ask a silly question and you'll get a silly answer,English,en
1496,Ek wonder hoeveel hy sal vra om in ‘n drie-slaapkamer huis te spook?  [bydrae: Allan],Afrikaans,af
1497,Pass the buck,English,en
1498,Do unto others as you would have them do to you,English,en
1499,Left hand doesn't know what the right hand is doing,English,en
1500,Bokveld toe gaan.,Afrikaans,nl
1501,Jan Rap en sy maat dans die riel vanaand.,Afrikaans,af
1502,Fixer-upper,English,en
1503,Batten down the hatches,English,en
1504,Son of a gun,English,en
1505,Local derby,English,en
1506,Lyk of hy van die ape gekul is.,Afrikaans,af
1507,Don't keep a dog and bark yourself,English,en
1508,Hy vryf graag haar boud.,Afrikaans,af
1509,A wolf in sheep's clothing,English,en
1510,Daar is te veel dak op die huis.,Afrikaans,nl
1511,To all intents and purposes,English,en
1512,(In a) pig's eye,English,en
1513,"Vra my broer Jack, hy lieg nes ek!",Afrikaans,af
1514,Year dot - The,English,en
1515,The year dot,English,en
1516,High and dry,English,en
1517,A leopard cannot change its spots,English,en
1518,Skeleton in the closet,English,en
1519,To cast the first stone,English,en
1520,Rum do,English,en
1521,"Some men are born mediocre, some men achieve mediocrity, and some men, have mediocrity thrust upon them",English,en
1522,The love that dare not speak its name,English,en
1523,Armoede leer ‘n maer hond bene kou.,Afrikaans,nl
1524,When pigs fly,English,en
1525,Straight as a die,English,en
1526,Thou shalt not kill,English,en
1527,Snug as a bug in a rug,English,en
1528,Darling buds of May,English,en
1529,Go Dolally,English,en
1530,Ring down the curtain,English,en
1531,My mind's eye,English,en
1532,Sour grapes,English,en
1533,Name and shame,English,en
1534,"Hark, hark! the lark at heaven's gate sings",English,en
1535,On a wing and a prayer,English,en
1536,Vir ‘n man horings opsit.,Afrikaans,af
1537,Scot free,English,en
1538,"As klein mensies groot skaduwees begin gooi, is die son besig om onder te gaan.",Afrikaans,af
1539,No rest for the wicked,English,en
1540,By the short hairs,English,en
1541,Dead as a dodo,English,en
1542,Bricks and clicks,English,en
1543,Dit weet die aap se stert.,Afrikaans,af
1544,Fit as a fiddle,English,en
1545,Go by the book,English,en
1547,Wing it,English,en
1548,A miss is as good as a mile,English,en
1549,Play ducks and drakes,English,en
1550,Back to the drawing board,English,en
1551,What are you like?,English,en
1552,Worse for wear,English,en
1553,Clean breast - make a,English,en
1554,You've never had it so good,English,en
1555,Beetle-browed,English,en
1556,Tickled pink,English,en
1557,"Ons is gebore om die waarheid na te streef – om dit te besit, is die voorreg van ‘n Hoër Mag.",Afrikaans,af
1558,Charm offensive,English,en
1559,Farmers,English,en
1560,Turn the tables,English,en
1561,My stars and garters,English,en
1563,The Big Easy,English,en
1565,Carpe diem,English,en
1566,Throw your hat into the ring,English,en
1567,Similes,English,en
1568,Blow your mind,English,en
1569,(Take with a) grain of salt,English,en
1570,Derdemannetjie speel.,Afrikaans,af
1571,Half inch,English,en
1572,Plug ugly,English,en
1573,I have nothing to offer but blood toil tears and sweat,English,en
1574,The quick and the dead,English,en
1575,Hy is kiepkop.,Afrikaans,af
1576,Surf and turf,English,en
1577,Hold your horses,English,en
1578,Swan song,English,en
1579,Cold enough to freeze the balls off a brass monkey,English,en
1580,Get over it,English,en
1581,Round Robin,English,en
1582,Toe-curling,English,en
1583,Take the bit between your teeth,English,en
1584,Het hart zonk hem in zijn schoenen.,Nederlands,nl
1585,The chickens come home to roost,English,en
1586,Up the wooden hill to Bedfordshire,English,en
1587,Full Monty - The,English,en
1588,Bolt from the blue,English,en
1589,Down the tubes,English,en
1590,Not playing with a full deck,English,en
1591,Die sout van die aarde.,Afrikaans,af
1592,Urban myth,English,en
1593,"As jy jonk wil bly, bly bruikbaar.",Afrikaans,af
1594,Ear candy,English,en
1595,Foul play,English,en
1596,Namby-pamby,English,en
1597,Chip off the old block,English,en
1598,Back of beyond - The,English,en
1599,A good man is hard to find,English,en
1600,More fool you,English,en
1601,Kickin' - Alive and,English,en
1602,Wax poetic,English,en
1603,Before you can say Jack Robinson,English,en
1604,Guinea pig,English,en
1605,Cock a snook,English,en
1606,End of story,English,en
1607,Sy kloek soos 'n hen al om haar kuikens.,Afrikaans,af
1608,Down the pan,English,en
1609,When it comes to the crunch,English,en
1610,Daar is ‘n definitiewe korrelasie tussen leesvermoë en leervermoë.,Afrikaans,af
1611,Jacob is doringskof vir Julius.,Afrikaans,en
1612,Nie ‘n A van ‘n B ken nie.,Afrikaans,af
1613,"Jors het al vroegmôre gedrink, kanteldronk geraak, nou is hy ge-aap en lê-tiep.",Afrikaans,af
1614,Picture is worth a thousand words - A,English,en
1615,Oops-a-daisy,English,en
1616,Booby prize,English,en
1617,Bitter end - The,English,en
1618,Walter Scott (phrases coined by),English,en
1619,As cute as a bug's ear,English,en
1620,(Ne'er) cast a clout till May be out,English,en
1621,"Jors het die naweek weer netjies gevat, nou’s hy weer tieprag op die Maandag.",Afrikaans,af
1622,Moenie al die aanbrandsel uit jou pot krap nie.,Afrikaans,af
1623,The early bird catches the worm,English,en
1624,Jot or tittle,English,en
1626,"Sy het so ‘n broeishennetjie-manier van aanlê by die seuns, draai al om hulle.",Afrikaans,af
1627,Geen mens het nog ooit in sy slaap ryk geword nie.,Afrikaans,af
1628,Identity theft,English,en
1629,Packed to the gunwales,English,en
1630,Sledgehammer to crack a nut - A,English,en
1631,Ryk gesaai bankrot ge-oes.,Afrikaans,af
1632,Beer and skittles,English,en
1633,Go off half-cocked,English,en
1634,Put on your thinking cap,English,en
1636,Everybody out,English,en
1637,Come what come may,English,en
1638,Let bygones be bygones,English,en
1639,Don't count your chickens before they are hatched,English,en
1640,Dit het gister net so ‘n slangsleepseltjie gereent in die Kaap.,Afrikaans,af
1641,Strike while the iron is hot,English,en
1642,Die Jors is ‘n regte agterdeursuiper.,Afrikaans,af
1643,Drop in the bucket - A,English,en
1644,"Liewers ‘n kort skande, as ‘n lang verdriet.",Afrikaans,af
1645,Hell has no fury like a woman scorned,English,en
1646,Get off your high horse,English,en
1647,"When in Rome, do as the Romans do",English,en
1648,Cut and run,English,en
1649,A Daniel come to judgement,English,en
1650,Van een kale kip kan men niet plukken.,Nederlands,nl
1651,Second-guess,English,en
1652,Jou akker sal kraak.,Afrikaans,af
1653,"Zoals de waard is, vertrouwt hij zijn gasten.",Nederlands,nl
1654,Set your teeth on edge,English,en
1655,"Hoe korter jy jou kuier maak, hoe gouer sal jy weer genooi word.",Afrikaans,af
1656,Met iets te koop loop.,Afrikaans,nl
1657,‘n Perd agterstevoor ry.,Afrikaans,af
1658,Grand slam,English,en
1659,Knock on wood,English,en
1660,Pork pies,English,en
1661,Bury the hatchet,English,en
1662,Offing - In the,English,en
1663,Go to the mattresses,English,en
1664,Dit is te dik vir ‘n Daalder.,Afrikaans,nl
1665,Dié naweek drink ons tot die bodem!,Afrikaans,af
1666,De tijd zal het leren.,Nederlands,nl
1667,Keep your nose to the grindstone,English,en
1668,It's better to light a candle than curse the darkness,English,en
1670,Living daylights,English,en
1671,Bubble and squeak,English,en
1672,Get your dander up,English,en
1673,Stuff and nonsense,English,en
1674,God rot them,English,en
1675,Sagte dokters maak stinkende wonde.,Afrikaans,af
1676,Hy is gecollar en getie.,Afrikaans,af
1677,"Wiens broodt men eet, die’ns woord met spreekt.",Afrikaans,nl
1678,Make him an offer he can't refuse,English,en
1679,"Selfs in die slegste vorm van werk, raak die mens se hele siel in harmonie did oomblik dat dit begin werk.",Afrikaans,af
1680,Hit the hay,English,en
1681,Strait and narrow,English,en
1682,In an interesting condition,English,en
1683,"Van werk word ek nooit, nooit moeg nie – wat my gedaan maak, is die werk wat lê en wag.",Afrikaans,nl
1684,Blood toil tears and sweat,English,en
1685,Sexton Blake,English,en
1686,Betaal ‘n donkie se prys en moenie ‘n perd se dienste te wagte wees nie.,Afrikaans,af
1687,‘n Goeie gewete is ‘n sagte kussing.,Afrikaans,af
1688,Beggars can't be choosers,English,en
1689,Plugged nickel,English,en
1690,Kowtow to,English,en
1691,Tell it to the marines,English,en
1692,"As die herder dwaal, dool die skape.",Afrikaans,af
1693,“Hy is twee Castles kort van ‘n sixpack.”  – ingestuur deur Andre,Afrikaans,af
1694,Iemand sal die babatjie moet vashou.,Afrikaans,af
1695,Keep the ball rolling,English,en
1696,Bad books,English,en
1697,At one's beck and call,English,en
1698,Up the duff,English,en
1699,Butter side down,English,en
1700,A little of what you fancy does you good,English,en
1701,Little of what you fancy does you good - A,English,en
1702,Balance of power - The,English,en
1703,"Geld wat sleg is, maak krom wat reg is.",Afrikaans,af
1704,Chris van Rooyen: “Hy het ‘n klein koppie soos ‘n ver gooi kierie.”,Afrikaans,af
1705,Soms is die lewe soos n kakkerlak … meer k@k as luck!,Afrikaans,af
1706,Pull in your horns,English,en
1707,April fool,English,en
1709,Hy probeer hoër vlieg as wat sy vlerke lank is.,Afrikaans,af
1710,ŉ Man saai nie koring in ŉ varkhok nie.,Afrikaans,af
1711,On your beam ends,English,en
1712,On tenterhooks,English,en
1713,Vegrissen is menselijk.,Nederlands,nl
1714,"Oh, they have slain the Earl of Moray and Lady Mondegreen",English,en
1715,(A) watched pot never boils,English,en
1716,Oxo cube,English,en
1717,Moot point,English,en
1718,A no-brainer,English,en
1719,Carry coals to Newcastle,English,en
1720,Get used to it,English,en
1721,Dash to pieces,English,en
1722,In the club,English,en
1723,Knuckle under,English,en
1724,Get down to brass tacks,English,en
1725,Take a back seat,English,en
1726,Billy no mates,English,en
1727,Chew the cud,English,en
1728,Okay,English,en
1729,Het up,English,nl
1730,Scarper,English,en
1731,The smallest room in the house,English,en
1732,Pyrric victory,English,en
1733,Ieder vogeltje zingt zoals het gebekt is.,Nederlands,nl
1734,Mens moet nie werk om te lewe nie – hy moet lewe om te werk.,Afrikaans,af
1735,Bloody-minded,English,en
1736,There's an R in the month,English,en
1737,Jy moet onder sy arm gaan ruik.,Afrikaans,af
1738,Jam tomorrow,English,en
1739,Trou die dogter van ‘n goeie ma.,Afrikaans,af
1740,As busy as a bee,English,en
1741,I bear a charmed life,English,en
1742,Have an inkling,English,en
1743,Nog groenvoer op die land hê.,Afrikaans,af
1744,A stitch in time saves nine,English,en
1745,Vicious circle,English,en
1746,Loose cannon,English,en
1747,Je moet het ijzer smeden als het heet is.,Nederlands,nl
1748,Floozie in the jacuzzi - The,English,en
1749,By the book,English,en
1750,One small step for man,English,en
1751,Woe is me,English,en
1752,Motley crew,English,en
1753,Famous last words (the ironic phrase),English,en
1754,Rinky-dink,English,en
1755,Mutt and Jeff,English,en
1756,Trouble and strife,English,en
1757,Johnny on the spot,English,en
1758,Bottle out,English,en
1759,Steal a march,English,en
1760,A rolling stone gathers no moss,English,en
1761,You can't teach an old dog new tricks,English,en
1762,"‘n Boer wat ophou skoolgaan voordat hy doodgaan, moet liewer doodgaan voordat hy ophou skoolgaan.",Afrikaans,af
1763,Rack your brains,English,en
1764,Elke hart het sy smart.,Afrikaans,af
1765,Life in the 1500s - folk etymologies,English,en
1766,Funny farm,English,en
1767,Handle with kid gloves,English,en
1768,On the dole,English,en
1769,An arm and a leg,English,en
1770,Mare's nest,English,en
1771,Back the field,English,en
1772,Sleep tight,English,en
1773,"Jy moet maar self groei, ongeag hoe groot jou oupa was.",Afrikaans,af
1774,Nothing succeeds like success,English,en
1775,"Die goed wat jy aan jou ouer doen, dit belê jy rente op rente, maar wat jy aan jou kind doen, dit is jy die meeste van die tye met kapitaal en rente kwyt. Dis ‘n gelukkie as jy daar iets van terugkry. MOET NIET DAAROP REKEN.",Afrikaans,af
1776,(In the) nick of time,English,en
1777,Knick-knack,English,es
1778,Bald as a coot,English,en
1779,Wide berth - Keep a,English,en
1780,Àugur well,English,ca
1781,The full monty,English,en
1782,Ginger,English,en
1783,Jors se opsykind is al pramhoog.  [pramhoog – hoe vrouens in Namakwaland hoogte aandui],Afrikaans,af
1784,Eaten out of house and home,English,en
1785,Whipper snapper,English,en
1786,In the pink,English,en
1787,"Behandel jou meerdere met beleefdheid omdat dit jou plig is, jou gelyke omdat dit jou plesier is, jou mindere omdat dit jou voorreg is. Die voorreg is aangenamer as die plesier en die plesier is soeter as die plig.",Afrikaans,af
1788,Jack Robinson - Before you can say,English,en
1789,Power corrupts; absolute power corrupts absolutely,English,en
1790,Copper-bottomed,English,en
1791,Ek sal jou slaan dat jy jou ouma vir ’n eendvoël aansien.,Afrikaans,af
1792,Box and Cox,English,en
1793,Jors is goed geolie.,Afrikaans,nl
1794,Touchy-feely,English,en
1795,Roasted to a turn,English,en
1796,Old hat,English,en
1797,Lead balloon - Go over like a,English,en
1798,Zien is geloven.,Nederlands,nl
1799,Vele handen maken licht werk.,Nederlands,nl
1800,Paying guest - A,English,en
1801,Woman's place is in the home - A,English,en
1802,Put a spanner in the works,English,en
1803,Worth one's salt,English,en
1804,Vice versa,English,en
1805,Bang on about,English,en
1806,Face the music,English,en
1808,Ek is in die dolliwarie.,Afrikaans,en
1809,The opera ain't over till the fat lady sings,English,en
1810,Abandon all hope ye who enter here,English,en
1811,Hy leef op sy binnevet.,Afrikaans,af
1812,"Out of sight, out of mind",English,en
1813,Man's inhumanity to man,English,en
1814,Doesn't know shit from Shinola,English,en
1815,"Geen nieuws, goed nieuws.",Nederlands,nl
1816,Wat is jy? ‘n Besitter van of ‘n besitting van jou bates.,Afrikaans,af
1817,Hither and yon,English,en
1818,The writing is on the wall,English,en
1819,Gou met die pen.,Afrikaans,af
1820,Odds bodkins,English,en
1821,Daar is slegte bloed tussen hulle.,Afrikaans,af
1822,Play silly buggers,English,en
1823,Strain at the leash,English,en
1824,‘n Mens moet die wêreld ‘n beter plek agterlaat as wat jy dit gekry het.,Afrikaans,af
1825,Morning person,English,en
1826,Feeding frenzy,English,en
1827,"Waar jy nie die daad kan weglieg nie, kan jy altyd ‘n ekskuus bylieg.",Afrikaans,af
1828,Bog standard,English,en
1829,Ill wind,English,en
1830,Bode well,English,en
1831,Cloud cuckoo land,English,en
1832,Accidentally on purpose,English,en
1833,Raining stair-rods,English,en
1834,Quid pro quo,English,la
1835,Heavens to Murgatroyd,English,en
1836,It never rains but it pours,English,en
1837,Annus horribilis,English,en
1838,Bated breath,English,en
1839,Grace of God - There but for ...,English,en
1840,The land of nod,English,en
1841,Take the gilt off the gingerbread,English,en
1842,Bone idle,English,en
1843,"Dis goed om geduld te hê, tensy jy iets gedoen wil hê…",Afrikaans,af
1845,Shoot through,English,en
1846,Just in time,English,en
1847,Spick and span,English,en
1848,Moving finger writes - The,English,en
1849,Collywobbles - The,English,en
1850,"Die mens wat dink geld het veel waarde, bly nog ‘n tydverkwister. So, koop al die skatte van die aarde – nie een minuut van gister.",Afrikaans,af
1851,Extraordinary rendition,English,en
1852,Upside down,English,en
1853,Revenge is a dish best served cold,English,en
1854,Hy kollekteer al weer by haar.,Afrikaans,af
1855,Pretty kettle of fish,English,en
1856,Let's roll,English,en
1857,As fast as greased lightning,English,en
1858,Alle begin is moeilijk.,Nederlands,nl
1859,One fell swoop - At,English,en
1860,As happy as...,English,en
1861,Good riddance,English,en
1862,Jy kan vir Jan Raap en Skraap eet ou.,Afrikaans,af
1863,There's one (a sucker) born every minute,English,en
1864,Poetic justice,English,en
1865,A sledgehammer to crack a nut,English,en
1867,Green eyed monster,English,en
1868,Let them eat cake,English,en
1869,Elke mens is ‘n dief in sy eie nering.,Afrikaans,af
1870,Coals to Newcastle - Carry,English,en
1871,In the buff,English,en
1872,Platsak wees.,Afrikaans,af
1873,Beast with two backs,English,en
1874,Van ’n donkie kan jy ’n skop verwag.,Afrikaans,af
1875,Cold as any stone,English,en
1876,"Verbosity leads to unclear, inarticulate things",English,en
1877,Stone the crows,English,en
1878,Die haan kraai baie harder as die hen wat die eier gelê het.,Afrikaans,af
1879,Hoist with your own petard,English,en
1880,Eat humble pie,English,en
1881,Carpe Diem: Gryp die dag!,Afrikaans,af
1882,Be enthralled,English,en
1883,Belt up,English,en
1884,Chip on your shoulder,English,en
1885,Die moeilikste besluite in die lewe is om te besluit watter brûe om oor te steek en watter om te verbrand.,Afrikaans,af
1886,In the doldrums,English,en
1887,Agree to disagree,English,en
1888,Don't look a gift horse in the mouth,English,en
1889,Mutton dressed as lamb,English,en
1891,Cash on the nail,English,en
1892,"Dawid Jones sê hulle melk ons nou sô vir die armes, asof dit ons skuld is dat hul arm is.",Afrikaans,af
1893,Faff about,English,en
1894,‘n Bank is ‘n plek waar hulle vir jou ‘n sambreel gee wanner dit mooiweer is en dit terugvra as dit begin reën.,Afrikaans,af
1895,(On a) wing and a prayer,English,en
1896,Say goodnight Gracie,English,en
1897,Keep schtum,English,en
1898,"Jy kan nie die armes ryk maak, deur die rykes te verarm nie.",Afrikaans,af
1900,Make a clean breast of it,English,en
1901,Berg toe gaan.,Afrikaans,nl
1902,"Naas die wete wanneer om ‘n geleentheid aan te gryp, is die belangrikste ding in die lewe om te weet wanneer om ‘n geleentheid te laat verbygaan.",Afrikaans,af
1903,Die gierige mens is altyd behoeftig.,Afrikaans,af
1904,King James' Version of the Bible,English,en
1905,All agog,English,en
1906,Fly off the handle,English,en
1907,Curry favour,English,en
1908,A foregone conclusion,English,en
1909,Ace in the hole,English,en
1910,Sorg dat jy nooit jou geld belê in enigiets wat eet of wat geverf moet word nie.,Afrikaans,af
1911,Make a virtue of necessity,English,en
1912,Die mooiweer sal jou nie beskadig omdat jy jou jas en sambreel verniet saamgeneem het nie.,Afrikaans,af
1913,The game is afoot,English,en
1914,Forewarned is forearmed,English,en
1916,Over the moon,English,en
1917,"Marry in haste, repent at leisure",English,en
1918,Between two stools,English,en
1919,"An eye for an eye, a tooth for a tooth",English,en
1920,Oefening baart kunst.,Nederlands,nl
1921,Stranger than fiction - Truth is,English,en
1922,"Been there, done that",English,en
1923,Sy doopseel lig.,Afrikaans,af
1924,Rhyming slang,English,en
1925,Push the envelope,English,en
1926,Someone is walking over my grave,English,en
1927,Forlorn hope,English,en
1928,Half-hearted,English,en
1929,Hy skil sy aartappels nie twee keer oor nie.,Afrikaans,af
1930,Get the upper hand,English,en
1931,Cloud nine,English,en
1932,Pull your horns in,English,en
1933,Take the Mickey,English,en
1934,Don't change horses in midstream,English,en
1935,Air kiss,English,en
1936,Nod is as good as a wink - A,English,en
1937,Grasp the nettle,English,en
1938,Jan Taks die belasting man eis sy pond vleis.,Afrikaans,af
1939,Through thick and thin,English,en
1940,Iron hoof,English,en
1941,Van ‘n muggie ‘n olifant maak.,Afrikaans,nl
1942,Beter één vogel in de hand dan tien in de lucht.,Nederlands,nl
1943,Look before you leap,English,en
1944,As nice as ninepence,English,en
1945,Thumbs up,English,en
1947,"Though this be madness, yet there is method in it",English,en
1948,"Eeny, meeny, miny, mo",English,en
1949,Load of codswallop,English,en
1950,"Lies, damned lies and statistics",English,en
1951,A nation of shopkeepers,English,en
1952,Old codger,English,en
1953,Make a bee-line for,English,en
1954,Sleep on a clothesline,English,en
1955,Die prys van vryheid is ewige waaksaamheid.,Afrikaans,af
1956,"Alas, poor Yorick! I knew him, Horatio",English,en
1957,Grinning like a Cheshire cat,English,en
1958,Fiddling while Rome burns,English,en
1959,"Stark, raving mad",English,en
1960,"That's one small step for a man, a giant leap for mankind",English,en
1961,Canteen culture,English,en
1962,As old as the hills,English,en
1963,Beg the question,English,en
1964,"Be still, my beating heart",English,en
1965,Hy skiet al weer ‘n cadenza.,Afrikaans,af
1966,Route one,English,en
1967,Loaf of bread,English,en
1968,Flotsam and jetsam,English,en
1969,Iets is beter as niks.,Afrikaans,nl
1970,"Wie heuning wil eet, moet steke verdra.",Afrikaans,nl
1971,Sy hou van haar stembande om my ore rek.,Afrikaans,af
1972,Joined at the hip,English,en
1973,Crapper - The,English,en
1974,As good luck would have it,English,en
1975,Adam sê dis Eva en Eva sê dis die slang.,Afrikaans,nl
1976,Sealed with a loving kiss,English,en
1977,Skaars uit die dop wees.,Afrikaans,af
1978,Whoops-a-daisy,English,en
1979,Good as gold,English,en
1980,Join the colours,English,en
1981,Now is the winter of our discontent,English,en
1982,Toodle-oo,English,en
1983,Baby father,English,en
1984,Hy staan of hy geld in die bank het.,Afrikaans,af
1985,Play it again Sam,English,en
1986,Net goed wees om die dood te gaan haal.,Afrikaans,nl
1987,Beck and call,English,en
1988,Daar is geen sukkel by kuns nie en geen kuns by sukkel nie.,Afrikaans,af
1989,"Moenie jou goed in jou lewe onder jou kinders uitdeel nie. As hul spandabel is, sal hulle die goed deurbring en as hulle alternatief inhalig is, sal hulle jou verwaarloos.   Wat ek tot my spyt en verdriet nie gedoen het nie)",Afrikaans,af
1990,Enige verandering aan daardie gesig is ‘n verbetering.  [bydrae: Herman Janse van Rensburg],Afrikaans,af
1991,McCoy - The real,English,en
1992,Hy is dopsak.,Afrikaans,uz
1993,Granny dumping,English,en
1994,Asap - As soon as possible,English,en
1995,Nou gaan die poppe dans.,Afrikaans,af
1996,"Pasop vir my groottoon, hy hou van stamp.",Afrikaans,af
1997,Which is which?,English,en
1998,Een mens verneuk nie ‘n ander nie. Elke mens verneuk homself.,Afrikaans,af
1999,Die droëpram is al mooi groot.,Afrikaans,nl
2000,The call of the wild,English,en
2001,Half-cocked,English,en
2002,As black as Newgate's knocker,English,en
2003,Fed up,English,en
2004,Die dans vryspring.,Afrikaans,fr
2005,Game is up - The,English,en
2006,Fuzzy wuzzy,English,en
2007,Tijd vliegt.,Nederlands,nl
2008,Getik wees.,Afrikaans,af
2009,"Die reêlmaat van seisoene is ononderhandelbaar. Waar nou die dag nog niks was nie, rinkink die kleure en geur gratis en verniet. Die winterslaap was maar net die broeimasjien van die huidige kleur en geur.",Afrikaans,af
2010,Moet nooit aftree nie. Dis beter om te verslyt as om te verroes.,Afrikaans,af
2011,Hy is baie kamp.,Afrikaans,af
2013,A rose by any other name would smell as sweet,English,en
2014,Bun in the oven,English,en
2015,Vis-a-vis,English,en
2016,If the shoe fits,English,en
2017,Hard cases make bad law,English,en
2018,Tickle the ivories,English,en
2019,Abide with me,English,en
2020,Flogging a dead horse,English,en
2021,Cut the mustard,English,en
2022,Punch above one's weight,English,en
2023,Much Ado about Nothing,English,en
2025,Mal Jan onder die afkop-hoenders.,Afrikaans,af
2026,Giddy goat,English,en
2027,Verskoon my Frans.,Afrikaans,af
2028,Moving the goalposts,English,en
2029,Hy is lekker vuurbek.,Afrikaans,af
2030,Rest on his laurels,English,en
2031,"Dis goud wat blink, maar koper wat stink.",Afrikaans,nl
